,Timestamp,InventoryType,Ad - Length,Ad- Width,Ad Size,Ad Type,Platform,Device Type,Format,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC,Kmeans_Clusters
24,2020-9-30-19,Format1,300,250,75000,Inter227,App,Mobile,Display,2205,309,303,1,0.0,0.35,0.0,0.33003300330033003,0.0,0.0,0
25,2020-9-16-23,Format6,336,250,84000,Inter227,App,Mobile,Video,1120,192,192,1,0.0,0.35,0.0,0.5208333333333333,0.0,0.0,0
26,2020-10-7-19,Format1,300,250,75000,Inter217,Web,Desktop,Display,1400,233,233,1,0.0,0.35,0.0,0.4291845493562232,0.0,0.0,0
27,2020-10-8-12,Format1,300,250,75000,Inter219,Video,Desktop,Video,1493,236,234,1,0.0,0.35,0.0,0.4273504273504274,0.0,0.0,0
28,2020-10-6-13,Format6,336,250,84000,Inter220,Web,Mobile,Display,1945,341,340,1,0.0,0.35,0.0,0.29411764705882354,0.0,0.0,0
29,2020-10-4-23,Format1,300,250,75000,Inter217,Web,Desktop,Video,1413,292,288,1,0.0,0.35,0.0,0.3472222222222222,0.0,0.0,0
30,2020-10-6-23,Format1,300,250,75000,Inter225,Video,Mobile,Video,1768,367,364,1,0.0,0.35,0.0,0.27472527472527475,0.0,0.0,0
31,2020-10-4-22,Format6,336,250,84000,Inter222,Video,Desktop,Display,1804,352,343,1,0.0,0.35,0.0,0.2915451895043732,0.0,0.0,0
32,2020-10-2-8,Format1,300,250,75000,Inter221,App,Mobile,Video,1622,204,200,1,0.0,0.35,0.0,0.5,0.0,0.0,0
33,2020-9-30-8,Format6,336,250,84000,Inter226,Web,Mobile,Display,1749,228,226,1,0.0,0.35,0.0,0.4424778761061947,0.0,0.0,0
34,2020-10-17-19,Format1,300,250,75000,Inter227,App,Mobile,Video,1358,214,209,1,0.0,0.35,0.0,0.4784688995215311,0.0,0.0,0
35,2020-10-15-21,Format1,300,250,75000,Inter225,Video,Mobile,Video,2249,390,390,1,0.0,0.35,0.0,0.2564102564102564,0.0,0.0,0
36,2020-10-28-14,Format1,300,250,75000,Inter219,Video,Desktop,Display,1428,211,208,1,0.0,0.35,0.0,0.4807692307692308,0.0,0.0,0
37,2020-10-26-21,Format1,300,250,75000,Inter225,Video,Mobile,Display,2370,409,408,1,0.0,0.35,0.0,0.24509803921568626,0.0,0.0,0
38,2020-11-8-1,Format6,336,250,84000,Inter228,Video,Mobile,Video,879,149,146,1,0.0,0.35,0.0,0.684931506849315,0.0,0.0,0
39,2020-11-8-13,Format6,336,250,84000,Inter218,App,Mobile,Video,1485,258,255,1,0.0,0.35,0.0,0.39215686274509803,0.0,0.0,0
40,2020-11-5-23,Format1,300,250,75000,Inter227,App,Mobile,Display,1557,280,277,1,0.0,0.35,0.0,0.36101083032490977,0.0,0.0,0
41,2020-11-3-16,Format1,300,250,75000,Inter227,App,Mobile,Display,1519,286,280,1,0.0,0.35,0.0,0.35714285714285715,0.0,0.0,0
42,2020-11-6-17,Format6,336,250,84000,Inter222,Video,Desktop,Display,1502,229,224,1,0.0,0.35,0.0,0.4464285714285714,0.0,0.0,0
43,2020-11-6-0,Format1,300,250,75000,Inter219,Video,Desktop,Video,981,135,135,1,0.0,0.35,0.0,0.7407407407407408,0.0,0.0,0
44,2020-11-8-19,Format1,300,250,75000,Inter224,Web,Desktop,Display,1454,267,264,1,0.0,0.35,0.0,0.3787878787878788,0.0,0.0,0
45,2020-11-3-22,Format1,300,250,75000,Inter217,Web,Desktop,Video,2101,427,424,1,0.0,0.35,0.0,0.2358490566037736,0.0,0.0,0
46,2020-11-9-9,Format1,300,250,75000,Inter228,Video,Mobile,Display,1430,270,269,1,0.0,0.35,0.0,0.37174721189591076,0.0,0.0,0
47,2020-11-16-22,Format1,300,250,75000,Inter222,Video,Desktop,Video,1704,215,212,1,0.0,0.35,0.0,0.4716981132075472,0.0,0.0,0
48,2020-11-16-11,Format1,300,250,75000,Inter223,Web,Mobile,Video,1845,258,241,1,0.01,0.35,0.0,0.4149377593360996,0.04149377593360996,0.01,0
49,2020-11-17-15,Format1,300,250,75000,Inter225,Video,Mobile,Video,1462,213,206,1,0.0,0.35,0.0,0.48543689320388345,0.0,0.0,0
50,2020-11-16-23,Format1,300,250,75000,inter230,Video,Mobile,Video,1595,274,273,2,0.0,0.35,0.0,0.7326007326007326,0.0,0.0,0
51,2020-11-17-19,Format1,300,250,75000,Inter222,Video,Desktop,Display,1816,315,309,1,0.0,0.35,0.0,0.3236245954692557,0.0,0.0,0
52,2020-11-20-3,Format1,300,250,75000,Inter218,App,Mobile,Display,391,96,91,1,0.0,0.35,0.0,1.098901098901099,0.0,0.0,0
53,2020-11-23-13,Format1,300,250,75000,Inter224,Web,Desktop,Display,2008,277,274,1,0.0,0.35,0.0,0.36496350364963503,0.0,0.0,0
